Timestamp,L_1,L_2,A_1,A_2,B_1,B_2,C_1,C_2,A_3,A_4,B_3,B_4,C_3,C_4,L_3,L_4,L_5,L_6,L_7,L_8,L_9,L_10,A_5,B_5,C_5
4502,56.06681853268087,-2.0504535940030593,74.79990854853088,61.20107518701889,55.40055529697506,61.15409836281995,55.444135771259766,60.95419098324169,45.86337907409985,28.77810975464361,23.432449903306832,30.78981572909008,27.220236458673014,26.8562744123534,58.88446208467478,-98.65609643704641,-77.60802815840928,-38.2280645581441,58.870507708366816,-23.27539592076903,57.49750206919687,-31.550466616415093,99.99999999999997,83.33333333690629,93.84614893097987
4503,56.06681853268087,-4.22517708783262,74.92186905133195,61.096177800529176,55.30574930926275,61.140983599320776,55.525442106701064,61.098368186112396,43.84740637050557,27.0168265340171,21.75177764757106,26.492851130734252,27.220236458673014,27.80069473474302,58.96004217783813,-98.65609643704641,-77.60802815840928,-42.492251806307934,57.70108384312543,-22.044547454807315,57.786045095500285,-39.36161870564413,99.99999999999997,83.33333333690629,93.84614893097987
4504,56.06681853268087,-2.8085000622471767,74.84564372459252,61.14862649377403,55.346380453193746,61.20655737384229,55.40348262574116,61.03283308804174,46.220051169962545,29.59584841211543,24.725274725594772,29.444147112460072,26.271652456686766,29.42900564461418,59.21701446487417,-98.65609643704641,-77.60802815840928,-38.37768516518597,50.499144312607726,-30.449336948978836,57.37605345187244,-30.217237870883068,99.99999999999997,83.33333333690629,93.84614893097987
4505,56.06681853268087,0.5592146067364325,74.8761338502928,61.06995345390675,55.40055529697506,61.18032786833112,55.38993156243359,61.16390328418305,44.94843761963726,30.31923259523623,21.70329670846118,28.144353545508565,29.00742369801968,29.135909686173008,59.7158430599393,-98.65609643704641,-77.60802815840928,-40.44031208260771,54.292641183758306,-32.7359340898945,57.360868565125244,-41.165398783710316,99.99999999999997,83.33333333690629,93.84614893097987
4506,56.06681853268087,-2.733938118890066,74.84564372459252,61.17485084039646,55.30574930926275,61.18032786833112,55.40348262574116,60.95419098324169,44.94843761963726,28.463594900258713,26.22818359970745,30.46869028112485,29.364861154898634,29.602692140481395,59.20189846110115,-98.65609643704641,-77.60802815840928,-47.44041894486196,50.21391899045001,-22.157847318435472,57.22420468391597,-30.23292290073846,99.99999999999997,83.33333333690629,93.84614893097987
4507,56.06681853268087,-0.12426991815055999,74.9523591770322,61.096177800529176,55.346380453193746,61.15409836281995,55.43058473015424,61.098368186112396,45.816856619080696,29.108350363342026,23.78797674598418,30.912149253358592,28.883695351893124,27.974381230610234,59.594884691302994,-98.65609643704641,-77.60802815840928,-35.87688363787,56.7027952038906,-22.688296647366897,57.28494418114697,-30.907379801281365,99.99999999999997,83.33333333690629,93.84614893097987
4508,56.06681853268087,-0.5840685926061582,74.78466347319198,61.096177800529176,55.35992415304406,61.18032786833112,55.41703366684666,61.072154151179035,47.41412730372508,31.703097969988804,20.038784748110643,27.639727823667528,25.323068454700504,28.831958313959007,59.64026296677595,-98.65609643704641,-77.60802815840928,-40.19450680211175,57.0450656091724,-27.271790921173075,57.86196947947853,-42.89075366110278,99.99999999999997,83.33333333690629,93.84614893097987
4509,56.06681853268087,-4.560705843119649,74.86088879993142,61.17485084039646,55.278661887372095,61.15409836281995,55.45768683456731,61.08526115790846,40.45126773847963,29.076898880480044,21.202327101408315,30.162856482980544,25.831729443231453,28.126356916717242,59.33794261888873,-98.65609643704641,-77.60802815840928,-39.39296785082446,49.500855673372925,-31.77288529377524,57.43679294910349,-35.40898753291587,99.99999999999997,83.33333333690629,93.84614893097987
4510,56.06681853268087,-3.8772213182326567,74.7694184228306,61.05684126985403,55.31929303130306,61.167213126319126,55.41703366684666,61.111475192841795,44.54524306875541,30.728101898207072,23.723335485011987,28.694854342082024,25.831729443231453,28.126356916717242,59.36817465120082,-98.65609643704641,-77.60802815840928,-42.93042643371205,50.59897317886781,-26.700141636155102,57.694935824774845,-51.75280370148302,99.99999999999997,83.33333333690629,93.84614893097987
4511,56.06681853268087,0.07456194437510533,74.7541733474917,61.04372910728432,55.30574930926275,61.232786879353455,55.43058473015424,61.098368186112396,41.319686737923064,29.249882049103476,23.416289607921584,29.948772859355003,27.687654657653766,27.963525834622885,59.41352271205203,-98.65609643704641,-77.60802815840928,-43.30447795131674,49.458071866871265,-31.937685087745514,57.239389570663164,-34.530625038665875,99.99999999999997,83.33333333690629,93.84614893097987
